"Overlay","Filename","Overlay_Gate","Gate","Total_Events","percent_gated_cells","percent_all_cells"
1,"Cruise_NorthSea_PE486_Algae_PE486_5_7m.fcs compensated","Gate 2","Gate 16",82,2.29,1.1
1,"Cruise_NorthSea_PE486_Algae_PE486_5_15m.fcs compensated","Gate 2","Gate 16",74,2.08,1
1,"Cruise_NorthSea_PE486_Algae_PE486_6_7_8m.fcs compensated","Gate 2","Gate 16",6,0.38,0.1
1,"Cruise_NorthSea_PE486_Algae_PE486_6_7_8m_Run2.fcs compensated","Gate 2","Gate 16",9,0.52,0.15
1,"Cruise_NorthSea_PE486_Algae_PE486_6_7m.fcs compensated","Gate 2","Gate 16",8,0.43,0.08
1,"Cruise_NorthSea_PE486_Algae_PE486_6_15m.fcs compensated","Gate 2","Gate 16",8,0.48,0.13
1,"Cruise_NorthSea_PE486_Algae_PE486_7_7m.fcs compensated","Gate 2","Gate 16",4,0.16,0.03
1,"Cruise_NorthSea_PE486_Algae_PE486_7_15m.fcs compensated","Gate 2","Gate 16",8,0.13,0.05
1,"Cruise_NorthSea_PE486_Algae_PE486_7_30m.fcs compensated","Gate 2","Gate 16",18,0.17,0.1
1,"Cruise_NorthSea_PE486_Algae_PE486_8_2m.fcs compensated","Gate 2","Gate 16",117,2.1,0.55
1,"Cruise_NorthSea_PE486_Algae_PE486_8_7m.fcs compensated","Gate 2","Gate 16",70,1.31,0.34
1,"Cruise_NorthSea_PE486_Algae_PE486_8_15m.fcs compensated","Gate 2","Gate 16",69,1.45,0.39
1,"Cruise_NorthSea_PE486_Algae_PE486_8_20m.fcs compensated","Gate 2","Gate 16",64,1.81,0.85
1,"Cruise_NorthSea_PE486_Algae_PE486_8_30m.fcs compensated","Gate 2","Gate 16",50,1.32,0.61
1,"Cruise_NorthSea_PE486_Algae_PE486_8_40m.fcs compensated","Gate 2","Gate 16",41,1.02,0.48
1,"Cruise_NorthSea_PE486_Algae_PE486_8_45_8m.fcs compensated","Gate 2","Gate 16",56,1.22,0.53
